total_fat,vitamin_a,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,protein,carbohydrate,fiber,sugars,calories
0.7,2.0,0.0,0.073,24.9,0.0,0.01,1.18,11.29,3.3,7.99,48
8.0,100.0,1.9,0.3,0.0,0.0,0.0,17.28,0.0,0.0,0.0,146
10.0,39.0,2.9,0.391,0.9,10.0,0.57,19.03,0.44,0.0,0.0,172
19.0,304.0,0.73,0.13,0.0,0.0,0.0,16.18,2.28,0.0,0.0,245
9.2,62.0,0.4,0.103,0.0,0.0,0.54,6.69,15.1,3.0,0.0,170
0.0,79.0,0.0,0.0,13.0,0.0,0.08,0.0,19.46,0.0,10.03,78
0.2,0.0,0.0,0.003,0.0,0.0,0.0,1.8,81.3,0.1,57.56,318
8.6,5.0,0.0,0.399,7.9,0.0,0.75,4.86,20.12,4.0,0.27,177
1.3,147.0,0.0,0.063,5.3,0.0,0.0,1.78,7.56,0.0,0.0,44
14.0,410.0,0.35,0.05,0.0,4.0,0.11,3.0,28.89,1.0,21.26,254
0.4,937.0,0.0,0.505,44.9,0.0,0.69,1.74,6.7,3.7,3.83,32
0.2,263.0,0.0,0.037,3.2,0.0,0.0,1.1,2.23,0.0,0.0,12
8.2,20438.0,0.0,3.535,2.0,0.0,0.0,11.86,51.42,21.6,0.0,281
5.2,63240.0,0.0,1.375,149.0,0.0,0.0,31.3,42.38,32.7,0.0,271
3.3,547.0,0.0,0.291,0.0,0.0,1.04,10.39,63.95,25.3,0.64,251
2.1,0.0,0.0,0.1,21.0,0.0,0.0,10.4,68.61,26.2,0.0,296
0.1,21.0,0.0,0.042,20.2,0.0,0.46,0.72,8.82,4.9,1.8,38
80.0,41.0,0.0,0.115,0.6,0.0,0.0,10.8,3.98,0.0,0.0,719
0.5,87.0,0.0,0.063,92.7,0.0,1.46,1.14,14.66,3.0,8.99,61
1.4,7564.0,0.0,1.2,51.7,0.0,0.0,9.4,8.28,2.0,0.0,64
0.4,8.0,0.0,0.237,5.2,0.0,0.0,1.46,23.63,1.5,0.0,98
3.3,100.0,0.0,0.0,0.0,0.0,0.09,0.03,90.4,0.0,80.46,391
0.2,72.0,0.0,0.051,3.2,0.0,0.03,0.59,2.16,0.7,1.38,12
0.7,10161.0,0.0,0.251,35.0,0.0,3.44,2.7,9.2,3.5,0.71,45
0.1,50.0,0.0,0.088,18.0,0.0,0.02,0.54,9.09,0.8,8.12,36
9.4,163.0,0.07,0.115,0.8,4.0,0.68,1.96,16.18,1.3,4.95,157
0.3,0.0,0.04,0.104,2.1,7.0,0.01,3.09,3.26,1.0,1.98,22
0.6,0.0,0.0,0.136,0.0,206.0,0.0,3.12,5.1,2.8,0.6,31
29.0,659.0,1.23,0.061,0.0,21.0,0.25,23.54,1.75,0.0,1.23,358
0.2,225.0,0.0,0.051,45.0,0.0,0.18,0.7,11.54,2.4,9.14,46
1.4,206.0,1.23,0.0,0.0,49.0,0.0,2.47,4.12,0.4,2.88,41
0.2,361.0,0.0,0.009,3.0,0.0,0.24,0.17,14.51,0.6,13.91,57
0.4,3617.0,0.0,0.0,26.6,0.0,0.0,4.55,5.54,0.0,0.0,34
1.2,0.0,0.0,0.0,17.6,0.0,0.0,2.35,18.82,0.6,14.71,94
1.8,0.0,0.0,0.0,13.2,53.0,0.0,2.64,9.69,0.4,5.29,66
0.0,667.0,0.0,0.0,2.0,0.0,0.0,1.67,8.33,1.7,6.67,40
0.9,0.0,0.5,0.0,0.0,0.0,0.0,23.88,20.42,6.5,1.6,185
0.2,642.0,0.0,0.081,23.4,0.0,0.38,1.2,5.1,1.1,4.0,23
1.4,100.0,0.5,0.13,0.0,0.0,5.0,16.1,2.0,0.0,0.0,90
0.8,0.0,6.67,0.634,0.0,0.0,0.22,22.5,0.0,0.0,0.0,103
1.5,0.0,0.0,0.142,0.0,0.0,0.11,13.04,74.67,3.2,2.67,371
9.8,2.0,0.0,0.098,0.0,0.0,0.97,5.6,76.9,2.2,19.92,416
0.0,255.0,0.3,0.02,0.0,0.0,0.0,3.1,15.6,0.0,0.39,74
13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,75.7,2.7,22.0,445
16.0,0.0,0.54,0.323,0.0,21.0,0.22,15.51,2.74,0.0,2.98,223
19.0,0.0,0.7,0.32,2.0,24.0,0.25,16.06,0.26,0.0,0.0,239
7.4,3800.0,0.0,0.55,50.0,0.0,7.48,9.11,63.94,37.0,1.71,276
0.2,19124.0,0.0,0.217,8.5,0.0,1.16,0.95,9.28,0.8,3.91,40
5.2,0.0,0.0,0.372,0.0,0.0,0.0,9.88,74.93,0.0,5.38,386
